source,destination
https://bazlur.ca/2023/07/19/dive-into-the-openjdk-top-10-reads-on-foojay-io/,https://bazlur.com/2023/07/19/dive-into-the-openjdk-top-10-reads-on-foojayio/
https://bazlur.ca/2023/07/24/busting-myths-building-futures-a-conversation-with-cay-horstmann-on-java-and-machine-learning/,https://bazlur.com/2023/07/24/busting-myths-building-futures-a-conversation-with-cay-horstmann-on-java-and-machine-learning/
https://bazlur.ca/2023/08/02/preparing-for-jdk-21-a-comprehensive-overview-of-key-features-and-enhancements/,https://bazlur.com/2023/08/02/preparing-for-jdk-21-a-comprehensive-overview-of-key-features-and-enhancements/
https://bazlur.ca/2023/08/04/book-review-openjdk-migration-for-dummies/,https://bazlur.com/2023/08/04/book-review-openjdk-migration-for-dummies/
https://bazlur.ca/2023/08/07/the-java-landscape-a-month-with-vaadin-openjdk-insights-and-java-enhancements/,https://bazlur.com/2023/08/07/the-java-landscape-a-month-with-vaadin-openjdk-insights-and-java-enhancements/
https://bazlur.ca/2023/08/09/sealed-interfaces-and-pattern-matching-a-quick-dive-into-javas-modern-capabilities/,https://bazlur.com/2023/08/09/sealed-interfaces-and-pattern-matching-a-quick-dive-into-javas-modern-capabilities/
https://bazlur.ca/2023/08/17/exploring-file-storage-solutions-in-spring-boot-database-local-systems-cloud-services-and-beyond/,https://bazlur.com/2023/08/17/exploring-file-storage-solutions-in-spring-boot-database-local-systems-cloud-services-and-beyond/
https://bazlur.ca/2023/08/17/thread-safe-counter-in-java-a-comprehensive-guide/,https://bazlur.com/2023/08/17/threadsafe-counter-in-java-a-comprehensive-guide/
https://bazlur.ca/2023/08/30/writing-testable-code-a-journey-through-consideration-and-refactoring/,https://bazlur.com/2023/08/30/writing-testable-code-a-journey-through-consideration-and-refactoring/
https://bazlur.ca/2023/09/01/unlocking-java-wisdom-a-conversation-with-oracle-ace-simon-martinelli/,https://bazlur.com/2023/09/01/unlocking-java-wisdom-a-conversation-with-oracle-ace-simon-martinelli/
https://bazlur.ca/2023/09/11/embracing-modernity-a-comprehensive-look-at-sealed-classes-pattern-matching-and-functional-paradigms-in-java/,https://bazlur.com/2023/09/11/embracing-modernity-a-comprehensive-look-at-sealed-classes-pattern-matching-and-functional-paradigms-in-java/
https://bazlur.ca/2023/09/13/turning-over-a-new-leaf-java-updates-and-journeys-as-summer-ends/,https://bazlur.com/2023/09/13/turning-over-a-new-leaf-java-updates-and-journeys-as-summer-ends/
https://bazlur.ca/2023/09/20/exploring-the-impact-of-stack-size-on-jvm-thread-creation-a-myth-debunked/,https://bazlur.com/2023/09/20/exploring-the-impact-of-stack-size-on-jvm-thread-creation-a-myth-debunked/
https://bazlur.ca/2023/09/29/web-crawling-in-java-a-tale-of-classical-threads-and-virtual-threads/,https://bazlur.com/2023/09/29/web-crawling-in-java-a-tale-of-classical-threads-and-virtual-threads/
https://bazlur.ca/2023/10/04/what-is-countdownlatch-and-how-to-use-it/,https://bazlur.com/2023/10/04/what-is-countdownlatch-and-how-to-use-it/
https://bazlur.ca/2023/10/04/what-is-cyclicbarrier-and-when-to-use-it-in-java/,https://bazlur.com/2023/10/04/what-is-cyclicbarrier-and-when-to-use-it-in-java/
https://bazlur.ca/2023/10/05/what-is-a-semaphore-and-when-to-use-it/,https://bazlur.com/2023/10/05/what-is-a-semaphore-and-when-to-use-it/
https://bazlur.ca/2023/10/10/how-to-diagnose-and-mitigate-pinning-in-javas-virtual-thread-execution/,https://bazlur.com/2023/10/10/how-to-diagnose-and-mitigate-pinning-in-javas-virtual-thread-execution/
https://bazlur.ca/2023/10/16/accessing-native-c-functions-from-java-using-openjdks-jep-454-foreign-function-memory-api/,https://bazlur.com/2023/10/16/accessing-native-c-functions-from-java-using-openjdks-jep-454-foreign-function-memory-api/
https://bazlur.ca/2024/01/09/homecoming-chronicles-navigating-parenting-flights-and-new-beginnings/,https://bazlur.com/2024/01/09/homecoming-chronicles-navigating-parenting-flights-and-new-beginnings/
https://bazlur.ca/2024/03/22/records-for-cleaner-and-more-expressive-parameterized-tests-in-junit-5/,https://bazlur.com/2024/03/22/records-for-cleaner-and-more-expressive-parameterized-tests-in-junit-5/
https://bazlur.ca/2024/06/01/exploring-new-features-in-jdk-23-a-sneak-peek/,https://bazlur.com/2024/06/01/exploring-new-features-in-jdk-23-a-sneak-peek/
https://bazlur.ca/2024/06/01/exploring-new-features-in-jdk-23-simplifying-java-with-primitive-type-patterns-with-jep-455/,https://bazlur.com/2024/06/01/exploring-new-features-in-jdk-23-simplifying-java-with-primitive-type-patterns-with-jep-455/
https://bazlur.ca/2024/07/11/unsafe-is-finally-going-away-embracing-safer-memory-access-with-jep-471/,https://bazlur.com/2024/07/11/unsafe-is-finally-going-away-embracing-safer-memory-access-with-jep-471/
https://bazlur.ca/2024/07/18/creating-a-command-line-tool-with-jbang-and-picocli-to-generate-release-notes/,https://bazlur.com/2024/07/18/creating-a-command-line-tool-with-jbang-and-picocli-to-generate-release-notes/
https://bazlur.ca/2024/09/11/family-castles-and-code-exploring-europes-old-cities/,https://bazlur.com/2024/09/11/family-castles-and-code-exploring-europes-old-cities/
https://bazlur.ca/2024/10/27/java-tips-01-writing-shebang-scripts-in-pure-java/,https://bazlur.com/2024/10/27/java-tips-01-writing-shebang-scripts-in-pure-java/
https://bazlur.ca/2025/01/07/a-journey-of-the-heart-visiting-madinah-and-makkah/,https://bazlur.com/2025/01/07/a-journey-of-the-heart-visiting-madinah-and-makkah/
https://bazlur.ca/2025/02/14/summarizingtokenwindowchatmemory-enhancing-llms-conversations-with-efficient-summarization/,https://bazlur.com/2025/02/14/summarizingtokenwindowchatmemory-enhancing-llms-conversations-with-efficient-summarization/
https://bazlur.ca/2025/02/21/diy-jvm-part-1-decoding-the-magic-parsing-java/,https://bazlur.com/2025/02/21/diy-jvm-part-1-decoding-the-magic-parsing-java/
https://bazlur.ca/2025/03/03/jetbrains-junie-my-firsthand-experience/,https://bazlur.com/2025/03/03/jetbrains-junie-my-firsthand-experience/
https://bazlur.ca/2025/03/08/a-journey-to-devnexus-challenges-friendships-and-java/,https://bazlur.com/2025/03/08/a-journey-to-devnexus-challenges-friendships-and-java/
https://bazlur.ca/2025/04/06/building-formpilot-my-journey-creating-an-ai-powered-form-filler-with-rag-langchain4j-and-ollama/,https://bazlur.com/2025/04/06/building-formpilot-my-journey-creating-an-aipowered-form-filler-with-rag-langchain4j-and-ollama/
https://bazlur.ca/2025/04/18/chat-with-your-knowledge-base-a-hands-on-java-langchain4j-guide/,https://bazlur.com/2025/04/18/chat-with-your-knowledge-base-a-handson-java-langchain4j-guide/
https://bazlur.ca/2025/05/03/java-llms-langchain4j-2025-talk-series/,https://bazlur.com/2025/05/03/java-llms-langchain4j-2025-talk-series/
https://bazlur.ca/2025/05/21/%e0%a6%a7%e0%a7%81%e0%a6%b2%e0%a7%8b%e0%a6%b0-%e0%a6%b8%e0%a7%8d%e0%a6%ac%e0%a6%be%e0%a6%a6/,https://bazlur.com/2025/05/22/
https://bazlur.ca/2025/05/25/javas-structured-concurrency-finally-finding-its-footing/,https://bazlur.com/2025/05/25/javas-structured-concurrency-finally-finding-its-footing/
https://bazlur.ca/2025/05/25/speaking-at-geecon-2025-krakow-experience/,https://bazlur.com/2025/05/25/speaking-at-geecon-2025-a-memorable-krakw-experience/
https://bazlur.ca/2025/06/21/building-robust-ai-applications-with-langchain4j-guardrails-and-spring-boot/,https://bazlur.com/2025/06/21/building-robust-ai-applications-with-langchain4j-guardrails-and-spring-boot/
https://bazlur.ca/2025/12/14/when-does-javas-foreign-function-memory-api-actually-make-sense/,https://bazlur.com/2025/12/14/when-does-javas-foreign-function-memory-api-actually-make-sense/
https://bazlur.ca/2025/12/21/zooming-in-profiling-just-the-methods-you-care-about-with-jfr-jdk-25/,https://bazlur.com/2025/12/21/zooming-in-profiling-just-the-methods-you-care-about-with-jfr-jdk-25/
https://bazlur.ca/2026/01/04/structured-concurrency-in-java-26-api-polishing-timeouts-and-better-joiners/,https://bazlur.com/2026/01/04/structured-concurrency-in-java-26-api-polishing-timeouts-and-better-joiners/
https://bazlur.ca/2026/03/28/ai-assisted-java-development-an-18-part-series/,https://bazlur.com/2026/03/28/ai-assisted-java-development-an-18-part-series/
https://bazlur.ca/2026/04/09/building-llm-apps-in-java-with-langchain4j/,https://bazlur.com/2026/04/09/building-llm-apps-in-java-with-langchain4j/
https://bazlur.ca/2026/09/21/java-virtual-threads-under-load/,https://bazlur.com/2026/09/21/java-virtual-threads-under-load-three-limits-to-make-explicit/
